,Y,v1,v2,idx1,idx2
243,bpRet,WIPI_8wk,rdsaRet,707,249
244,bpRet,WIPI_8wk,sp500Ret,714,950
245,bpRet,WIPI_8wk,xomRet,716,1040
246,bpRet,artcount,entropy,717,219
247,bpRet,artcount,fBbl,718,222
248,bpRet,artcount,fEnv,719,792
249,bpRet,artcount,fGom,720,230
250,bpRet,artcount,sEnv,722,263
251,bpRet,artcount,sEp,723,900
252,bpRet,artcount,sEpg,724,910
253,bpRet,basis,DFX,727,355
254,bpRet,basis,DSpot,729,432
255,bpRet,basis,FutRet,730,475
256,bpRet,basis,WIPI_8wk,733,702
257,bpRet,basis,bpRet,734,755
258,bpRet,basis,sp500Ret,743,952
259,bpRet,basis,xomRet,745,1042
260,bpRet,bpRet,DFX,746,356
261,bpRet,bpRet,DInv,747,374
262,bpRet,bpRet,DOilVol,748,396
263,bpRet,bpRet,DProd,749,409
264,bpRet,bpRet,DSpot,750,433
265,bpRet,bpRet,OilVol,751,578
266,bpRet,bpRet,StikIdx,752,691
267,bpRet,bpRet,WIPI_8wk,753,703
268,bpRet,bpRet,basis,755,734
269,bpRet,bpRet,liquidity,759,239
270,bpRet,bpRet,rdsaRet,760,864
271,bpRet,bpRet,tnote_10y,763,979
272,bpRet,bpRet,xomRet,764,1043
273,bpRet,entropy,fEnv,766,793
274,bpRet,entropy,fEpg,767,811
275,bpRet,entropy,fRpc,769,830
276,bpRet,entropy,sBbl,770,258
277,bpRet,entropy,sEnv,771,893
278,bpRet,entropy,sEp,772,901
279,bpRet,fBbl,fEnv,775,794
280,bpRet,fBbl,fGom,777,821
281,bpRet,fBbl,sBbl,778,259
282,bpRet,fBbl,sEnv,779,894
283,bpRet,fBbl,sEp,780,264
284,bpRet,fBbl,sEpg,781,912
285,bpRet,fBbl,sGom,782,920
286,bpRet,fBbl,sRpc,783,272
287,bpRet,fCo,fEnv,784,226
288,bpRet,fCo,fGom,786,822
289,bpRet,fCo,fRpc,787,832
290,bpRet,fCo,sBbl,788,876
291,bpRet,fCo,sCo,789,885
292,bpRet,fCo,sRpc,791,273
293,bpRet,fEnv,artcount,792,719
294,bpRet,fEnv,entropy,793,766
295,bpRet,fEnv,fBbl,794,775
296,bpRet,fEnv,fRpc,795,833
297,bpRet,fEnv,sEp,798,903
298,bpRet,fEnv,sEpg,799,914
299,bpRet,fEnv,sGom,800,921
300,bpRet,fEnv,sRpc,801,929
301,bpRet,fEnv,sent,802,938
302,bpRet,fEp,fGom,804,823
303,bpRet,fEp,fRpc,805,232
304,bpRet,fEp,sCo,806,886
305,bpRet,fEp,sEpg,807,915
306,bpRet,fEp,sRpc,808,930
307,bpRet,fEpg,artcount,810,195
308,bpRet,fEpg,entropy,811,767
309,bpRet,fEpg,sBbl,816,878
310,bpRet,fEpg,sEnv,817,896
311,bpRet,fGom,fBbl,821,777
312,bpRet,fGom,fCo,822,786
313,bpRet,fGom,fEp,823,804
314,bpRet,fGom,fRpc,824,834
315,bpRet,fGom,sEp,827,904
316,bpRet,fGom,sEpg,828,266
317,bpRet,fRpc,entropy,830,769
318,bpRet,fRpc,fBbl,831,223
319,bpRet,fRpc,fCo,832,787
320,bpRet,fRpc,fEnv,833,795
321,bpRet,fRpc,fGom,834,824
322,bpRet,fRpc,sBbl,835,879
323,bpRet,fRpc,sEnv,836,35
324,bpRet,fRpc,sEp,837,905
325,bpRet,fRpc,sEpg,838,267
326,bpRet,fRpc,sent,839,939
327,bpRet,liquidity,FutRet,842,484
328,bpRet,liquidity,tnote_10y,854,986
329,bpRet,rdsaRet,OilVol,861,581
330,bpRet,rdsaRet,StikIdx,862,695
331,bpRet,rdsaRet,bpRet,864,760
332,bpRet,rdsaRet,sp500Ret,872,960
333,bpRet,rdsaRet,tnote_10y,873,987
334,bpRet,rdsaRet,xomRet,874,1047
335,bpRet,sBbl,artcount,875,197
336,bpRet,sBbl,fCo,876,788
337,bpRet,sBbl,fEpg,878,816
338,bpRet,sBbl,fRpc,879,835
339,bpRet,sCo,entropy,884,221
340,bpRet,sCo,fCo,885,789
341,bpRet,sCo,fEp,886,806
342,bpRet,sCo,sEp,890,906
343,bpRet,sCo,sEpg,891,916
344,bpRet,sEnv,entropy,893,771
345,bpRet,sEnv,fBbl,894,779
346,bpRet,sEnv,fEpg,896,817
347,bpRet,sEnv,sEp,897,907
348,bpRet,sEnv,sGom,898,926
349,bpRet,sEnv,sRpc,899,933
350,bpRet,sEp,artcount,900,723
351,bpRet,sEp,entropy,901,772
352,bpRet,sEp,fEnv,903,798
353,bpRet,sEp,fGom,904,827
354,bpRet,sEp,fRpc,905,837
355,bpRet,sEp,sCo,906,890
356,bpRet,sEp,sEnv,907,897
357,bpRet,sEp,sEpg,908,917
358,bpRet,sEp,sGom,909,927
359,bpRet,sEpg,artcount,910,724
360,bpRet,sEpg,fBbl,912,781
361,bpRet,sEpg,fCo,913,225
362,bpRet,sEpg,fEnv,914,799
363,bpRet,sEpg,fEp,915,807
364,bpRet,sEpg,sCo,916,891
365,bpRet,sEpg,sEp,917,908
366,bpRet,sGom,fBbl,920,782
367,bpRet,sGom,fEnv,921,800
368,bpRet,sGom,sEnv,926,898
369,bpRet,sGom,sEp,927,909
370,bpRet,sRpc,fEnv,929,801
371,bpRet,sRpc,fEp,930,808
372,bpRet,sRpc,sCo,932,262
373,bpRet,sRpc,sEnv,933,899
374,bpRet,sRpc,sent,936,942
375,bpRet,sent,fEnv,938,802
376,bpRet,sent,fRpc,939,839
377,bpRet,sent,sRpc,942,936
378,bpRet,sp500Ret,DInv,943,386
379,bpRet,sp500Ret,DProd,944,421
380,bpRet,sp500Ret,FutRet,946,492
381,bpRet,sp500Ret,OilVol,947,589
382,bpRet,sp500Ret,StikIdx,949,697
383,bpRet,sp500Ret,WIPI_8wk,950,714
384,bpRet,sp500Ret,basis,952,743
385,bpRet,sp500Ret,rdsaRet,960,872
386,bpRet,sp500Ret,tnote_10y,967,994
387,bpRet,sp500Ret,xomRet,968,1050
388,bpRet,tnote_10y,DInv,970,82
389,bpRet,tnote_10y,DSpot,971,449
390,bpRet,tnote_10y,FutRet,972,493
391,bpRet,tnote_10y,StikIdx,977,698
392,bpRet,tnote_10y,bpRet,979,763
393,bpRet,tnote_10y,liquidity,986,854
394,bpRet,tnote_10y,rdsaRet,987,873
395,bpRet,tnote_10y,sp500Ret,994,967
396,bpRet,tnote_10y,xomRet,995,1051
397,bpRet,xomRet,DFX,1033,367
398,bpRet,xomRet,DInv,1034,388
399,bpRet,xomRet,DProd,1036,422
400,bpRet,xomRet,OilVol,1038,590
401,bpRet,xomRet,StikIdx,1039,182
402,bpRet,xomRet,WIPI_8wk,1040,716
403,bpRet,xomRet,basis,1042,745
404,bpRet,xomRet,bpRet,1043,764
405,bpRet,xomRet,rdsaRet,1047,874
406,bpRet,xomRet,sp500Ret,1050,968
407,bpRet,xomRet,tnote_10y,1051,995
408,xomRet,DProd,sp500Ret,17,1076
409,xomRet,DSpot,WIPI_8wk,18,791
410,xomRet,bpRet,DSpot,33,522
411,xomRet,bpRet,sp500Ret,35,1081
412,xomRet,fEnv,fRpc,36,929
413,xomRet,rdsaRet,WIPI_8wk,41,802
414,xomRet,DFX,basis,99,823
415,xomRet,DProd,basis,120,824
416,xomRet,DProd,xomRet,126,1174
417,xomRet,FutRet,WIPI_8wk,147,792
418,xomRet,FutRet,basis,148,286
419,xomRet,StikIdx,WIPI_8wk,261,794
420,xomRet,StikIdx,bpRet,263,842
421,xomRet,StikIdx,tnote_10y,275,1092
422,xomRet,WIPI_8wk,bpRet,279,843
423,xomRet,WIPI_8wk,sp500Ret,285,1080
424,xomRet,basis,FutRet,286,148
425,xomRet,basis,StikIdx,289,779
426,xomRet,basis,WIPI_8wk,290,796
427,xomRet,basis,xomRet,303,1179
428,xomRet,bpRet,basis,309,829
429,xomRet,bpRet,rdsaRet,316,344
430,xomRet,entropy,fEnv,324,878
431,xomRet,entropy,fEpg,325,899
432,xomRet,entropy,sGom,326,360
433,xomRet,fBbl,fCo,327,868
434,xomRet,fCo,sEpg,329,1037
435,xomRet,fCo,sGom,330,1046
436,xomRet,fEp,sBbl,331,995
437,xomRet,fEpg,sEnv,332,1016
438,xomRet,fGom,sGom,333,1049
439,xomRet,rdsaRet,bpRet,344,316
440,xomRet,sBbl,sCo,352,1006
441,xomRet,sCo,entropy,353,853
442,xomRet,sEnv,sRpc,354,1061
443,xomRet,sEp,sBbl,355,997
444,xomRet,sEpg,fEp,357,896
445,xomRet,sEpg,sEnv,358,1021
446,xomRet,sGom,artcount,359,820
447,xomRet,sGom,entropy,360,326
448,xomRet,sGom,sCo,361,1009
449,xomRet,sGom,sEnv,362,1022
450,xomRet,sGom,sEpg,363,1043
451,xomRet,sent,entropy,364,857
452,xomRet,sp500Ret,DInv,367,473
453,xomRet,sp500Ret,StikIdx,369,786
454,xomRet,sp500Ret,liquidity,372,956
455,xomRet,sp500Ret,rdsaRet,373,987
456,xomRet,sp500Ret,xomRet,379,1186
457,xomRet,tnote_10y,xomRet,384,1187
458,xomRet,DFX,StikIdx,438,774
459,xomRet,DFX,WIPI_8wk,439,788
460,xomRet,DFX,sp500Ret,449,1074
461,xomRet,DFX,trend,451,1111
462,xomRet,DInv,FutRet,454,569
463,xomRet,DInv,StikIdx,459,775
464,xomRet,DInv,sp500Ret,473,367
465,xomRet,DOilVol,WIPI_8wk,482,789
466,xomRet,DOilVol,bpRet,484,839
467,xomRet,DOilVol,sp500Ret,498,1075
468,xomRet,DOilVol,tnote_10y,499,1087
469,xomRet,DOilVol,xomRet,500,1173
470,xomRet,DProd,WIPI_8wk,504,790
471,xomRet,DProd,bpRet,506,840
472,xomRet,DProd,tnote_10y,517,1088
473,xomRet,DSpot,StikIdx,519,777
474,xomRet,DSpot,basis,521,825
475,xomRet,DSpot,bpRet,522,33
476,xomRet,DSpot,liquidity,527,940
477,xomRet,DSpot,rdsaRet,528,976
478,xomRet,DSpot,sp500Ret,533,1077
479,xomRet,DSpot,trend,534,1114
480,xomRet,DSpot,xomRet,535,1175
481,xomRet,FutRet,DInv,569,454
482,xomRet,FutRet,StikIdx,571,778
483,xomRet,FutRet,liquidity,578,941
484,xomRet,FutRet,rdsaRet,579,977
485,xomRet,FutRet,sp500Ret,584,1078
486,xomRet,FutRet,trend,586,1115
487,xomRet,OilVol,WIPI_8wk,666,793
488,xomRet,OilVol,bpRet,668,841
489,xomRet,OilVol,sp500Ret,682,1079
490,xomRet,RPsdf_growing,RPsdf_rolling,735,760
491,xomRet,RPsdf_rolling,RPsdf_growing,760,735
492,xomRet,StikIdx,DFX,774,438
493,xomRet,StikIdx,DInv,775,459
494,xomRet,StikIdx,DSpot,777,519
495,xomRet,StikIdx,FutRet,778,571
496,xomRet,StikIdx,basis,779,289
497,xomRet,StikIdx,rdsaRet,783,979
498,xomRet,StikIdx,sp500Ret,786,369
499,xomRet,StikIdx,xomRet,787,1177
500,xomRet,WIPI_8wk,DFX,788,439
501,xomRet,WIPI_8wk,DOilVol,789,482
502,xomRet,WIPI_8wk,DProd,790,504
503,xomRet,WIPI_8wk,DSpot,791,18
504,xomRet,WIPI_8wk,FutRet,792,147
505,xomRet,WIPI_8wk,OilVol,793,666
506,xomRet,WIPI_8wk,StikIdx,794,261
507,xomRet,WIPI_8wk,basis,796,290
508,xomRet,WIPI_8wk,liquidity,801,944
509,xomRet,WIPI_8wk,rdsaRet,802,41
510,xomRet,WIPI_8wk,tnote_10y,807,1093
511,xomRet,WIPI_8wk,trend,808,1121
512,xomRet,WIPI_8wk,xomRet,809,1178
513,xomRet,artcount,entropy,810,847
514,xomRet,artcount,fBbl,811,858
515,xomRet,artcount,fEp,813,889
516,xomRet,artcount,fEpg,814,898
517,xomRet,artcount,fGom,815,911
518,xomRet,artcount,sBbl,817,991
519,xomRet,artcount,sEp,818,1024
520,xomRet,artcount,sGom,820,359
521,xomRet,artcount,sent,822,1065
522,xomRet,basis,DFX,823,99
523,xomRet,basis,DProd,824,120
524,xomRet,basis,DSpot,825,521
525,xomRet,basis,bpRet,829,309
526,xomRet,basis,liquidity,832,946
527,xomRet,basis,rdsaRet,833,981
528,xomRet,basis,tnote_10y,835,1095
529,xomRet,bpRet,DOilVol,839,484
530,xomRet,bpRet,DProd,840,506
531,xomRet,bpRet,OilVol,841,668
532,xomRet,bpRet,StikIdx,842,263
533,xomRet,bpRet,WIPI_8wk,843,279
534,xomRet,bpRet,trend,846,1123
535,xomRet,entropy,artcount,847,810
536,xomRet,entropy,fGom,850,912
537,xomRet,entropy,fRpc,851,926
538,xomRet,entropy,sBbl,852,992
539,xomRet,entropy,sCo,853,353
540,xomRet,entropy,sEp,854,1025
541,xomRet,entropy,sEpg,855,1035
542,xomRet,entropy,sRpc,856,1054
543,xomRet,entropy,sent,857,364
544,xomRet,fBbl,artcount,858,811
545,xomRet,fBbl,fEnv,859,879
546,xomRet,fBbl,fEp,860,890
547,xomRet,fBbl,fRpc,861,927
548,xomRet,fBbl,sBbl,862,993
549,xomRet,fBbl,sEnv,864,1014
550,xomRet,fBbl,sGom,865,1045
551,xomRet,fCo,fBbl,868,327
552,xomRet,fCo,fEp,870,891
553,xomRet,fCo,fGom,871,914
554,xomRet,fCo,fRpc,872,928
555,xomRet,fCo,sBbl,873,994
556,xomRet,fCo,sCo,874,1002
557,xomRet,fCo,sEnv,875,1015
558,xomRet,fEnv,entropy,878,324
559,xomRet,fEnv,fBbl,879,859
560,xomRet,fEnv,fEp,880,892
561,xomRet,fEnv,fEpg,881,902
562,xomRet,fEnv,fGom,882,915
563,xomRet,fEnv,sEp,885,1027
564,xomRet,fEnv,sGom,886,1047
565,xomRet,fEnv,sRpc,887,1056
566,xomRet,fEp,artcount,889,813
567,xomRet,fEp,fBbl,890,860
568,xomRet,fEp,fCo,891,870
569,xomRet,fEp,fEnv,892,880
570,xomRet,fEp,fRpc,893,930
571,xomRet,fEp,sEpg,896,357
572,xomRet,fEpg,artcount,898,814
573,xomRet,fEpg,entropy,899,325
574,xomRet,fEpg,fEnv,902,881
575,xomRet,fEpg,fRpc,904,931
576,xomRet,fEpg,sCo,906,1004
577,xomRet,fEpg,sEpg,907,1039
578,xomRet,fEpg,sGom,908,1048
579,xomRet,fEpg,sRpc,909,1058
580,xomRet,fEpg,sent,910,1067
581,xomRet,fGom,artcount,911,815
582,xomRet,fGom,entropy,912,850
583,xomRet,fGom,fCo,914,871
584,xomRet,fGom,fEnv,915,882
585,xomRet,fGom,fRpc,918,932
586,xomRet,fGom,sCo,920,1005
587,xomRet,fGom,sEp,922,1029
588,xomRet,fGom,sEpg,923,1040
589,xomRet,fGom,sent,925,1068
590,xomRet,fRpc,entropy,926,851
591,xomRet,fRpc,fBbl,927,861
592,xomRet,fRpc,fCo,928,872
593,xomRet,fRpc,fEnv,929,36
594,xomRet,fRpc,fEp,930,893
595,xomRet,fRpc,fEpg,931,904
596,xomRet,fRpc,fGom,932,918
597,xomRet,fRpc,sEnv,935,1017
598,xomRet,fRpc,sRpc,937,1059
599,xomRet,liquidity,DSpot,940,527
600,xomRet,liquidity,FutRet,941,578
601,xomRet,liquidity,WIPI_8wk,944,801
602,xomRet,liquidity,basis,946,832
603,xomRet,liquidity,sp500Ret,956,372
604,xomRet,liquidity,xomRet,959,1182
605,xomRet,rdsaRet,DSpot,976,528
606,xomRet,rdsaRet,FutRet,977,579
607,xomRet,rdsaRet,StikIdx,979,783
608,xomRet,rdsaRet,basis,981,833
609,xomRet,rdsaRet,sp500Ret,987,373
610,xomRet,rdsaRet,tnote_10y,988,1104
611,xomRet,rdsaRet,trend,989,1132
612,xomRet,rdsaRet,xomRet,990,1183
613,xomRet,sBbl,artcount,991,817
614,xomRet,sBbl,entropy,992,852
615,xomRet,sBbl,fBbl,993,862
616,xomRet,sBbl,fCo,994,873
617,xomRet,sBbl,fEp,995,331
618,xomRet,sBbl,sEnv,996,1018
619,xomRet,sBbl,sEp,997,355
620,xomRet,sBbl,sEpg,998,1041
621,xomRet,sBbl,sent,1000,1070
622,xomRet,sCo,fCo,1002,874
623,xomRet,sCo,fEpg,1004,906
624,xomRet,sCo,fGom,1005,920
625,xomRet,sCo,sBbl,1006,352
626,xomRet,sCo,sEp,1007,1031
627,xomRet,sCo,sEpg,1008,1042
628,xomRet,sCo,sGom,1009,361
629,xomRet,sCo,sRpc,1010,1060
630,xomRet,sEnv,fBbl,1014,864
631,xomRet,sEnv,fCo,1015,875
632,xomRet,sEnv,fEpg,1016,332
633,xomRet,sEnv,fRpc,1017,935
634,xomRet,sEnv,sBbl,1018,996
635,xomRet,sEnv,sEpg,1021,358
636,xomRet,sEnv,sGom,1022,362
637,xomRet,sEnv,sent,1023,1071
638,xomRet,sEp,artcount,1024,818
639,xomRet,sEp,entropy,1025,854
640,xomRet,sEp,fEnv,1027,885
641,xomRet,sEp,fGom,1029,922
642,xomRet,sEp,sCo,1031,1007
643,xomRet,sEp,sGom,1032,1052
644,xomRet,sEpg,entropy,1035,855
645,xomRet,sEpg,fCo,1037,329
646,xomRet,sEpg,fEpg,1039,907
647,xomRet,sEpg,fGom,1040,923
648,xomRet,sEpg,sBbl,1041,998
649,xomRet,sEpg,sCo,1042,1008
650,xomRet,sEpg,sGom,1043,363
651,xomRet,sEpg,sRpc,1044,1062
652,xomRet,sGom,fBbl,1045,865
653,xomRet,sGom,fCo,1046,330
654,xomRet,sGom,fEnv,1047,886
655,xomRet,sGom,fEpg,1048,908
656,xomRet,sGom,fGom,1049,333
657,xomRet,sGom,sEp,1052,1032
658,xomRet,sGom,sRpc,1053,1063
659,xomRet,sRpc,entropy,1054,856
